statename,gender,educ,partyid,firstthought,taxpayer,percenttp,recent,tpfeel,biggest,wagesal,paystub,child,depend,glad,upset,benefit,wastecents,wastethink,eitcself,eitcexp,eitcother,eitcthink,labforce,polideo,polinffreq,regvote,feelfedgov_1,voted,discusspol,poleffic,polvol,polknow1,polknow2,polkno3,marital,ownhome,stateresid,yearbirth,raceeth,hhinc,weightvec
Washington,2,3,4,less money in the bank account,1,30,"At the grocery store on Monday, Nov. 3, I taxes on all non food items","I believe taxes are necessary, but far too high",property taxes,1,"Federal taxes, social secuirty",1,0,Public education and parks,stupid studies that someone has had and receive a grant for,yes...I have received more back than I have paid in,35,grants for studies that are crazy,3,,1,a good thing...helps families that need that help,6,6,2,1,2,1,2,2,4,2,1,3,1,1,48,11,1,12,0.574527399
Georgia,2,3,7,"OH no here we go again, more money ",1,50,Sales tax on my new car and general sales tax on clothing,I am contributing to society but everyone needs to be a contributer and not a taker,income tax,1,"federal income taxe, state income tax, social security tax",0,0,"national parks, infrastructure, the military","Welfare, grants for ridiculous studies, federal workers who really do not work",no ,80,fraud in the social services like welfare and disability,3,,3,,8,6,1,1,6,1,1,1,4,2,1,3,1,1,11,28,1,17,1.302865633
Pennsylvania,1,2,6,what govenment takes from our py checks,1,81,sales tax when i bought items at walmart,not very good,govt.incme tax,1,"govt income tax,state income tax,social security,local income tax, privilidge to work tax",0,just my wife and I,"rosd repairs,national security",supporting other counties,I now collect socia secuity so I guess that would be onemway other tha that I do not see how,80,buying things tht are not needed and sometimes ridiculous,3,,3,,2,5,2,1,40,1,3,2,4,1,1,6,1,1,39,14,1,14,0.73595321
Pennsylvania,2,3,6,charges a person have to pay,1,80,had lunch a a restaurant today,ok,salary,1,"state, local, city",1,yes,social security for my future,"unenployment, prisoners, weldare",not yet,50,na,1,it doesnt affect me,1,i think is good,1,4,4,2,50,2,3,3,4,2,4,3,1,3,39,49,3,3,1.592262766
Minnesota,2,3,3,"A huge debate in congress and is very confusing. I basically know what my part is; due by April 15th, pay in or recieve back.",1,65,"Yesterday, when I went shopping.","It's a burden carried everywhere I go. It increases the price of every single thing I want to purchase, making me less likely to purchase certain things or big items.","State Taxes Imposed on Everything; Food, Gas, Etc. ",1,Medicare/Social Security and State Taxes...One more I can't quite remember.,2,No,Anything that actually improves education.,Paying congress (their salaries) to do a job that they are not doing.,NO,75,"Private Deals, Rescuing Companies that DO NOT CHANGE BEHAVIORS",1,"It helps a lot, most of the time, because it depends on income. There is fine line between working too much or not enough to get the child credit, which makes no sense it you are underemployed and have kids, you need more help. But it has helped to at least not have to rarely pay in taxes when we are so broke.",1,"I think it should be changed a little. I believe it is of great use, but too often people who don't need it as much, spend it on things they don't need to, and those that need it the most, barely get anything from it and often more then not, put it to good use, like catching up on bills. I would never want to see either of the tax credits go away though, they are needed and much appreciated.",8,4,2,1,2,1,2,1,3,2,1,6,5,3,24,52,1,1,0.782012106
Florida,2,2,4,groan!!  They're too high!,1,80,Other than sales tax? (That would be yesterday). Payroll tax every week.,Used,Property tax,1,ficu and social security,0,0,"Roads, police and fire. Parks and recreation.",Most of it going overseas. Paying politicians. Making up for people who don't pay taxes.,I'm grateful for police and firefighters in case I ever need them. I do enjoy our parks.,70,Paying themselves and their perks.,1,"It doesn't anymore as I don't qualify now. But back when I did, it meant a bigger tax return.",4,,1,4,3,1,20,1,4,3,4,1,2,6,3,1,10,23,1,9,0.432154266
Ohio,2,2,4,"Waste, and inappropriate spending, and corruption.Crooked government representation. / ",1,90,when i went shopping for food for thanks giving.,depends on the tax rate ..right now its way too high,household items.,1,"ss,federal,medicare,ohio",0,0,not.......not glad bout paying school tax..now that my kids are gone.,"people on goverment asst. that have cars,cell phones, new brand name clothes,food when i cant even afford those items in my own household",no i dont,100,they need to be on same scale of pay as me..see if they can make it,1,get more back,1,helps when you have kids,2,3,1,1,1,1,2,1,4,1,4,3,4,1,36,30,1,11,0.538743107
Virginia,2,2,4,"takes money out of your hard earned pay check, taxed for goods you buy, otherwise taking your hard earned money!!",1,60,"yesterdays trip to the grocery store, paid taxes and the items I purchased.","it doesn't feel all the great, already struggling so yeah it sucks!",taxes taken out of paychecks,0,,2,no,"anything that helps people in need, that are seriously in need of it, I am glad of that!","people taking advantage of food stamps, and getting any kind of assistance when they do not need it!",the only thing I have benefited from is receiving a tax check back in February after completing a tax return.,60,sending money to foreign countries ,1,gives a bigger return,2,I think it is great for people like me struggling to get by.,2,4,4,2,26,2,4,2,4,1,4,6,1,3,47,58,1,10,4.87722426
Pennsylvania,2,2,1,Taxes means that somebody needs more money for something that does nothing for the individual,1,70,I paid tax at the gas pump yesterday,It feels like the life being suck ut of you,Income tas I would say though I am not sure,1,"Social Secirty, Income, Medical, Local, State",0,3,"Glad, not really glad about anything.  We pay taxes to fix roads for instance, though the roads where I live are terrible and they have no plans of fixing them","Everything, especially other people's pensions","No, benifited how?  ",81,"Defense, pensions, tax havens for bifg business",1,I allows us to receive a refund which we use to pay down our debt or make a home improvement,4,,4,3,2,2,8,2,2,5,4,2,1,3,1,1,39,31,1,10,0.429536552
Florida,2,2,4,a big check return when you file your taxes thats if you dont owe them,1,59,when i purchased food mcdonalds,"if feels great because i know some taxes i pay go toward schools,roads highways",foods and gas and everyday expenses ,1,"fica,social sec,state",1,0,schools and education for my child,I am happy about my tax dollars because it helps somebody and something in 1 way or another,that have build better and more roads that mean less traffic,53,when they say they will do something and never do,1,gives me more mpney back when i file my taxes,4,,8,5,4,1,80,1,3,2,4,1,1,3,1,3,10,45,2,12,2.016927406
Ohio,1,2,4,more money out of my pocket ouch,1,90,in the checkout line at walmart yesterday. ,"it wouldn't be too bad, if I could afford it","paper nessecities, such as toilet paper--paper towels, shampoo etc.",1,city taxes-federal taxes,0,no,"road work, helping the homeless (those who need it), schooling","helping those immigrant put food in there stomachs, and not caring for our own here in the USA",not sure,80,"not sure, don't know if any of us little people know for sure",4,,3,,7,4,2,2,50,2,3,3,4,4,4,6,3,3,36,29,1,1,0.427902551
Tennessee,1,2,5,It is my duty and legal to avoid paying to much in taxes.,1,47,The last time I paid taxes were 2010,Sometimes it feels pretty bad knowing that I do my best to be a law abiding citizen of the U.S. by paying my taxes whilst others if they don't want to pay they don't. And some get away with it.,Federal Income tax makes up the biggest part of my family's budget.,1,"social security tax, state tax, medicaid and medicare, unemployment tax, federal income tax",0,No other dependents are claimed ,Civil services and social security retirement.,"Welfare and disability because a lot don't deserve disability,",Well I suppose as a taxpayer I have representation.,30,Over payments for goods and services and there are way to many freebies in this country.,1,When we got earned income credits it was very helpful for the family budget.,2,I think it is a good thing as low income families need this credit.,8,6,3,2,50,2,3,3,3,4,4,3,1,3,43,23,1,8,0.432154266
California,2,5,2,money owed to the government,1,74,when I shop at stores or online,like I have to pay out too much money,Taxes taken out of paychecks,1,"Federal, state, Social security, medicare",2,1,"schools, help for the poor, needy","military, high salaries for govt. people",not that much. Maybe some social programs,40,military spending,1,helped out a little,4,,2,2,3,1,29,1,2,3,4,2,4,1,1,4,5,33,1,10,0.3930594
Mississippi,1,2,4,additional money you need to pay,1,80,the last time I went shopping,netural,income tax,1,"federal,state",0,0,education for my children,over paying federal wmployees,yes in different ways,69,over paying for everything,3,,1,a good idea,4,4,3,2,60,2,2,2,4,2,2,6,3,3,25,23,1,5,0.343243209
Pennsylvania,1,5,7,"Payments to federal, state, and local governments for government services",1,50,That would be this afternoon when I bought a few groceries.,"As long as the tax money is put to good use, a proud American to be able to be in a situation like me.",Federal taxes,1,"I am now retired, but that would have been federal, state, local, and social security",0,My spouse,Defense of our Country and varied public services,Research and projects that are more for show and to line somenones pockets than actual publ;ic good.  Funds for elected leaders who do not accomplish the tasks they were elected to do.,"Yes. Defense of my country, local polise, fire, and other public services I might not otherwise have",20,Government funded projects and research that have little or no benefit to the majority of taxpayers,3,,3,,6,6,3,1,15,1,3,3,4,2,1,3,1,1,39,15,1,13,0.73595321
Oregon,1,4,4,a necessary part of living in a society.  If taxes aren't paid then the services we come to expect can't be provided.,1,86,"Just paid my property taxes, paid taxes on my earnings also.","I feel as though I am a law abiding citizen, I pay my taxes so I can have the benefit of the services provided.",Income taxes,1,"Federal Income tax, State income tax, OASDI, Medicare, ",0,0,"Roads and Highways, our national defense.",Abortions and welfare for people who really could and should be working.,"Yes, my gasoline taxes pay for the roads and highways I travel.",34,Pork barrel projects by senators who pander to their constituents.,3,,3,,2,4,4,1,27,1,3,3,4,2,1,3,1,1,38,21,1,18,1.185001802
Texas,2,5,7,government revenue builder that never should have been.,1,60,on our last paycheck 2 days ago.,responsibility that wish I had some input on as to what to do with the money.  more than just voting.,federal income tax,1,"federal, medicare, / ",3,0,military defense.  maybe some infrastructure.,"medical insurance, government programs and the list goes on and on.",Yes. infrastructure.  But not to the degree that I have paid out.,73,pork spending,2,dont qualify any more but before saved us some money,1,geared for lowest income who works.,8,7,3,1,13,1,2,3,4,4,1,6,1,1,44,44,1,19,2.38104843
Nevada,1,5,1,none that I can think of right now,1,90,taxes from my investments,neccesary evil,from investments,0,,0,1,first responders roads courts ,anything that is wasted and not needed,yes and no does pay for first responders roads etc,51,military,3,,3,,6,2,2,1,40,1,3,3,1,2,1,3,5,3,29,33,1,13,0.460739774
Vermont,1,6,3,paying for services and infrastructure,1,35,sales tax on wine I bought this afternoon,I don't mind,sales tax,1,state and federal income tax,0,no,"schools, roads, infrastructure in general","military egos, corporate subsidies","yes - roads, schools, police and fire protection",38,"military budget, war on drugs, cost of campaigning",1,reduces what we owe or increases our refund,2,neutral,2,3,3,1,40,1,2,3,4,2,1,3,1,1,46,29,1,16,0.503497879
Florida,1,3,5,govt subsidy from the citizens,1,55,grocery store past Sunday,"like I contribute to the city, state, country",Federal,1,"fed tax, fica, medicare",0,1,"Roads, food for poor, infrastructure",Corporate and individual rip offs,"Yes.  Roads, schools, infrastructure",22,corporate tax breaks,3,,3,,6,3,2,1,52,1,2,2,4,2,1,3,5,1,10,16,1,11,0.631671616
California,1,5,2,have to pay more from out of pocket,1,59,2013 Federal Income Tax and State income tax,responsible,Federal income tax,1,"Federal, State,",2,0,"road constructions, education, health",defense industry high costs,no,56,federal defense costing too much,3,,3,,1,6,1,1,50,1,3,2,1,1,1,3,1,1,5,36,4,14,1.176626343
Indiana,2,1,4,the end of the year................ / ,1,51,last year when i had a job,depending on what im paying for its pretty good / ,taxes on gasoline ,1,i have no idea,2,no,schooling and things for kids,political salaries cuz seriously why,my kids get to go to school ,80,everything,1,i was able to buy my childrens beds,4,,8,NA,NA,1,59,1,NA,2,NA,4,4,6,6,5,15,60,1,1,4.829240087
Pennsylvania,2,5,2,We pay too much for taxes ,1,81,"Food shopping, retail shopping","It is strenous enough to try to make ends meet, but taxes do me in ",School and property taxes,1,"Social Security, FICA, ",1,0,Schools and infrastructure,Welfare for people that abuse the system,no,40,"Time wasting, shelved bills sitting in congress",4,,4,,1,4,NA,1,65,1,NA,3,3,1,4,6,1,1,39,44,1,17,2.366625567
Pennsylvania,1,4,4,boston tea party and the patriota,2,61,2013 worked part-time and cashed in investments,"fine, working government",income taxes,1,"fica, social security",0,1,"infrastructures, military, food and housing","politicians, welfare, foreign aid",daily life,35,foreign aid and polititions ,1,another deduction,1,every one else with dependents,4,5,3,1,9,1,3,2,4,1,1,3,1,1,39,21,3,14,1.285820981
Massachusetts,2,2,4,"Taxes on houses, cars, boats or land",1,72,Paid taxes om my home and land and town,"alright I guess, but taxes in my town are crazy. House value goes down and town taxes go up",The house taxes. Have to set aside monthly in order to pay them,0,,0,no,Well they say taxes go toward roads and schools. Sometimes I wonder,,Not reall. But love the town,80,"All the money they use for adds, Vacation's and free time",3,,3,,1,6,2,1,40,1,2,3,4,1,1,6,5,1,22,29,1,12,0.429536552
Pennsylvania,1,2,2,that they are too high and always going up,1,58,food when grocery shopping,stinks,state tax,1,"federal, state, social security",1,0,there is nothing that I am glad to pay taxes for,"welfare, illegal immigrants",no,81,"welfare, remodeling government buildings",1,helped,2,it is good,1,6,3,1,32,1,3,3,4,2,1,6,1,1,39,32,1,15,0.503497879
Missouri,1,3,4,Don't know why it has to be this long. Being a senior citizen and living on a fixed income taxes are very high for seniors.,1,60,"sales tax at the store this last Tuesday,tax on a drink I got at a fast food restaurant,tax on my beer hell tax on everything.",I suppose this has to be twenty five also so if I just wrote broke I would have to start all over again,income,0,,0,0,I would say schools but then I really don't think they get the money there suppose to,elected officials get my tax money and all the benefits they get they don't deserve for the job they have done.,no,89,salaries,4,,3,,6,4,3,1,39,1,2,2,4,2,1,6,4,1,26,16,1,11,0.787470485
Florida,2,3,2,more money to spend out than to be able to save,1,91,i bought food this morning and paid taxes on it,its a part of life,all of the taxes,1,fico,0,no,"education, and research if its spent correctly",other people that dont pay taxes,not really,60,lots of different things,2,it just gave me a reward at the end of the year for paying in taxes the other part of the year,1,it is helpful for people with children that fall in that category,1,4,3,1,50,1,2,3,4,4,4,6,5,3,10,44,2,11,2.016927406
Massachusetts,2,2,4,taxes and that is all i have to say,1,21,"i dont rem,emberdfgbdfg nfghn fgnfgn fg",no diefferent than any other,none,NA,,0,2,no ideaetyhtyh fgbrfghergbrthrn,not upset dfgbfbfgnfghngn ghnghnghn,no idea,27,nothing,3,,3,,8,NA,4,1,22,1,4,3,4,3,1,3,1,1,22,32,1,13,0.503497879
Massachusetts,2,2,4,"Something I have to pay in order to receive services such as water, my insurance, my home and also for the privilege of being a USA citizen.",1,85,I just paid my excise tax on my car.,I feel good about it. Naturally I wish all taxes were lower but it is the way our system works.,Property tax.,1,State and Federal.,0,0,"Education, and taxes are what keep our country and system running.",I wish we had less of a war budget : ( and more for the USA here.,"I live in America, the most wonderful country in the world. This is my home and I'm glad to do my share to keep my home up and running.That means paying my taxes.",19,"Excess spending on programs that do not work, waste in all branches or departments.",3,,3,,8,4,2,1,100,1,2,3,3,2,1,3,1,1,22,16,1,13,0.73595321
New York,1,5,2,hatred and disgust hate to pay taxes,1,40,today at the grocery store,it really sucks because I hate to support other unneedy people,Federal taxes,1,federal state local fica ,0,1,helping truly needy people,government workers and scammers,I receive social security disability,80,frivalous lawsuits undeserving people on welfare,3,,3,,6,5,3,1,6,1,3,2,4,2,1,3,1,1,33,23,1,16,0.503497879
Illinois,2,6,2,Money paid to the government,1,71,Local state and city sales taxes this week shopping.  Never paid federal taxes always receive a refund,"Good to contribute, but feel this tax money the goverment is given is misued",Local taxes from shopping,1,"Medicaid, FICA, federal, and state witholding",2,0,Towards education although doesn't seem our local schools are receiving much also goverments grants for some research projects,"It just seems so many politicians have certain agencies, businesses, or policies in mind which are not really important to fund. There are many projects that seem unecessary when our schools are in dire need of money and funding.  Also there is quite a bit of money used in the medicaid and food stamps programs and I sometimes wonder if it is too much.  My family works hard and sometimes I see individuals on public aid purchasing food I cannot afford",No,60,"Medicaid, food stamps, certain research projects, certain non-profit organizations",1,"It gives us extra income throughout the year.  After all, my husband works hard to support his family.  Just last week he worked 84 hours in one week. It is frustrating to work so hard but still be lower middle  class",1,Again helps families have the ability to take care of the families and children,8,3,2,1,20,2,2,1,4,4,4,3,1,1,14,47,1,11,0.984578453
Michigan,1,2,4,fdffsdfs dfxgdfgdfdfdfgdfgd,1,27,zfdsdfssddsffsdfdfsdfsd cgfdfddfgdf,gghghgfhf fjfgfgfgh fghfgh,dsfsdsdfsfsd,1,fsfsdsdfsdfdsfs,0,2,vbhgfcgfghfgfh  vnvnvgngvgfv,fghffhfghfghfghfghfghfg kjghjghjghj,dfrdsgddfdgfgdf,97,cvvbxcxcvxcxcvxc,3,,3,,6,4,2,1,10,1,3,5,4,4,4,1,1,1,23,15,1,14,0.923063978
Massachusetts,2,5,3,more money out of our pockets to pay for something for the govt,1,60,We pay almost 23 cents a gallon on tax for gas,"The money needs to come from somewhere, I understand that. But maybe when they tax for gas they should put the money into roads instead of somewhere else.","income, sales, ",1,"FICA State Federal, Medicare",0,yes,Not sure I can say Im glad. I dont understand where all the tax money goes.  Into someones pocket other than mine.  So I cant tell you Im glad.  I can tell you Im not glad when people are getting Welfare and having too many kids and not looking for work.  So Im sure some of the tax money pays for those folks.  Not glad about that....,We pay SSI tax but yet someone who is retired can not afford to live on that amount.  They have been paying all their lives to get a small amount back.,NO,60,"Every politician that is in office.  Welfare.  I think they should make them work, even if its a few hours a day. Go anywhere.  Mandatory drug testing for people in welfare.",4,,4,,4,4,2,1,3,1,3,3,4,2,1,3,1,1,22,38,1,16,0.920166135
Colorado,1,6,7,Money paid to governments,1,50,November3 2014 Sales tax on grocery purchase,No feelings,Federal and state income tax,1,Federal and state income tax withholding Socail secirity and medicare,0,no,"Medicare   and loca services, infrastructure",welfare to a point and certain subsidies,Nice to have some local services but really have not benefited,11,"Waste in contracts, defense ",3,,3,,1,6,1,1,36,1,4,2,4,2,1,3,1,1,6,20,1,17,1.185001802
New York,2,2,NA,LAND TAX / STATE TAX / SCHOOL TAX ,1,40,SCHOOL TAX IN THE  FALL / AND OF COURSE STATE AND LAND TAXES AS DUE WHEN THE TIME COMES / ,IT STINKS ,NOT SURE,0,,3,NO,NOT SURE I DONT KNOW WHAT ALL MY TAXES GO FOR,I HAVE NO CLUE WHAT THEY DO WITH THE TAX MONEY GOES FOR,NO,NA,THERE PAY CHECKS,1,NOT AT ALL,2,NOT SURE,8,NA,4,2,40,2,4,3,4,2,2,6,1,5,33,34,1,12,0.429536552
Florida,2,3,7,the government that likes to spend all of our money and take more and more from us and not spend it wisely. Need to get rid of that system ,1,91,in 2013 while my husband was still alive and now I am at poverty level ,like I am being ripped off by the government that feels like they can spend it on stupid things and not be accountable to the people that they take it from,"taxes on the home and clothing,and gas. ",1,"fica, social security,  ",0,0,I am not glad for any thing that my taxes paid for. It is just a rip off by the government ,"that they spend it on all kinds of stupid things like massages for rabbits, and stuff like that",no I have not benefited from the taxes that I paid ,97,"National education association, EPA, Home land sercurity, ",3,,3,,8,7,2,1,1,1,3,1,4,2,1,3,2,1,10,26,1,2,0.343243209
Ohio,1,2,5,"the irs comes to mind, house taxes come to mind,sales tax comes to mind",1,80,at Meijers today while buying household items,I FEEL LIKE EVERYONE ELSE IN THE COUNTRY,Probably the gasoline taxes,1,"state,local,federal",0,0,"schools,schools,schools,schools","jails,jails,jails,jails,jails",not right now I don't,10,nothing,1,it helped out with a little extra money,2,I think it is good for the people who have kids in school,8,4,4,2,40,2,4,3,4,4,4,6,1,3,36,24,1,14,0.631508565
Pennsylvania,1,5,2,Payments to a governmental unit,1,86,Paid electric bill yesterday,"It is OK but sometimes if is a lot of money, it can be taxing my patience.",medical/medicare/,1,local eit / state eit occupational priv / state income  / fed income / medicare / ,0,no,"national park system, cdc, police, fire","politician perks, junkets, graft and so on - they rip off more money in a second than I will earn in a lifetime.",benefited yes but also taken advantage of the structured methodology,60,"armed warware and ""gifts"" to waring nations",3,,3,,6,5,3,1,7,1,3,5,4,2,1,6,1,1,39,15,1,11,0.627845355
Connecticut,2,2,5,Paying outrageous amounts to state and federal government.,1,70,I pay sales taxes daily and property taxes yearly. I'm elderly and do not have to pay either state or federal income taxes.,It would be better to have something to show for the taxes that I pay.,Sales ,1,"FICA, State and Federal Income Tax and Medicare",0,no,Security for the country and the military.,Welfare for people who don't deserve it and women who continue to have babies because welfare will take care of them.,My Social Security tax is being used now to help me survive.,50,Federal officials' wages.,3,,1,I think it is good for people who deserve it. It helps them out.,6,4,2,2,40,2,3,3,4,1,2,6,3,3,7,14,1,7,0.627845355
NA,2,2,1,OH GOSH   I hate taxes there no fun  ,2,14,NEVER  had to pay  taxes in my life,It feels not good even if i had to pay them,house taxes  make up a biggest part of my family,0,,0,no,nothing   they pay for cause i don t have to pay taxes,nothing cause i dont pay taxes,cause im disabilid so i dont pay them,33,everything,3,,3,,5,7,4,2,44,2,4,4,4,3,1,5,5,5,53,46,1,NA,0.973295269
Indiana,2,2,4,How much money is the government going to take from me and my family this year.  Taxes are really high and the middle class people pay the price for it. ,1,70,I pay taxes for almost everything I buy.  Then taxes are taken out of my husbands paycheck every week.  On top of high gas prices we have tax.  Buying at a restaurant we have tax on the food and drink we buy.  So we pay some kind of tax every day.,If the money went for a good cause it would be great.  I think a lot of my tax dollars goes for other countries and not my own.,"Well as explained in the previous question, the sales tax we pay is the biggest part and the tax taken out of money earn every week.",1,"Federal tax, State tax and Local tax. ",0,no,Honestly I don't think there is anything my tax dollars pay for.  Maybe there might be something out there but I don't know what at this time.,"They pay politicians that lost their way of taking care of this country.   My tax dollars goes to foreigners.  They pay outrageous amounts for benefits that the politians will have even after out of office.  The should endure what the US citizens endure.  To me, the violated the constitution by changing it to benefit them.",Absolutely not.  I know there is government help for those in need but to be denied for having 3 dollars too much is unreal.  I don't think my tax dollars benefit me in any way.  It goes to others outside my country.,90,The government having their fingers in all countries and that is where a lot is wasted.  Our government needs to focus on this country.,1,It gave a little bit back to use in the return.  ,1,"Any little bit that gives back to the citizens is good.  I know it does help the poor, but I would like to see it all benefit the middle class. ",8,NA,3,2,9,2,3,2,4,2,4,6,1,1,15,31,1,13,0.631508565
Minnesota,2,5,2,extra money pay to the goverment either federal or state to pay for programs,1,87,This am when purchased gasoline ,"OK, part of life",federal income tax pay,1,"federal and 2 diferent state taxes, social security",0,0,"education, roads, retiremnet","that people don't all pay their fair share, rich find loop holes to get out of paying",roads drive on,44,nothing specific,3,,3,,1,4,3,1,27,1,3,4,4,2,1,3,5,1,24,28,1,14,0.631508565
Kentucky,2,1,1,money I get at the end of the year for working,1,6,going shopping at walmart,I feel proud to pay taxes but also feel robbed of funds,household Items,1,school tax property tax social sercurity tax ,0,0,helping keep the roads paved,the price of food and household Items,no because I'm not old enough to enjoy it,50,trash,3,,1,I think it is good thing because some families just get by,9,2,3,1,42,2,3,3,4,1,4,6,3,3,18,34,1,1,0.343243209
Minnesota,1,3,4,money taken from each check to help support the country and all it has to offer,1,82,"yesterday when i ordered something on amazon, i paid state tax","although it can be a drain on my finances some times, it still feels like a privledge to pay and to have a job so i can",income,1,"fica, state, federal, city",2,2,"roads, schools, support of programs like social programs",to support people who are not legal americans with unemployment and social services,my family has benefited with money for schools and road improvements and a little social services,33,"paying too many people to do pretty much nothing , i know people who have state jobs and they and many people they work with spend a lot of time on personal calls, shopping online and playing games rather than actual work",1,it makes a difference in whether or not we get a refund,1,i think it is a good and fair break for families with children,1,4,2,1,29,1,2,2,4,2,1,6,1,1,24,25,1,13,0.631508565
Florida,2,2,7,goverment taking your money ,1,71,i had to pay sales tax today ,like your being taken adavntage of. you pay taxes out of each pay check plus when you purchase something you have to pay sales tax whioch costs you more so everything you do you have to pay taxes,propety tax,1,goverment social secirity,0,0,nothing they made it impossible for florida to legalize medical pot,everything it should be regulated better / ,nope im not on welfare so i dont get any benifets plus im white ,100,obama,1,i got more back ,2,if you make so much or you get paid to have kids,4,4,2,1,9,1,2,2,4,1,1,6,5,1,10,56,1,10,0.789782315
Texas,1,3,NA,nothing nothing nothing nothing nothing nothing,1,50,november 2014 november november november,not sure what to say about it,not sure what to say not sure what to say,1,not sure what to say but we must pay ceser,0,2,not sure what to say but we must pay ceser,not sure what to say but we must pay ceser,not sure what to say but we must pay ceser,62,not sure what to say but we must pay ceser,1,not sure what to say but we must pay ceser,1,not sure what to say but we must pay ceser,6,4,3,2,48,2,3,3,3,3,3,4,1,1,44,19,1,1,0.343243209
New Jersey,1,6,1,We lose.  The rich get richer!,1,61,Today in my paycheck.  Sales tax in the stores I went to today.  My property tax on 11/1.,I'm ok with it but I feel that the rich & corps are not paying their fair share.,income,1,"fed, state, local, ss, unemployment, disability, medicare",0,spouse,"infrastructure; ss (wish it wasn't DOUBLE TAXED because of other earning), climate control; environment (yeah, right)",Supplement rich & corps & pay politicians who only use us to get richer.,I thank God for LBJ's Great Society.  It got me through school but it is long gone now.,100,"Their salaries; their over budgets on everything; their wasteful spending; their dealings with their ""buddies.""",3,,3,,2,1,1,1,30,1,2,1,3,2,1,3,1,1,31,17,1,NA,0.754888953
Ohio,1,2,2,"Government, politicians, taxpayers",1,60,I paid the local city tax,good and bad,Federal Tax,1,"Federal, State, City, Social Security, Medicare",0,0,Education Transportation Highway,"Not enough money is being spent on Education, transportation and Roads",No not all the time,87,Spending the tax payers money foolishly and things other than what they are needed for,3,,3,,5,4,2,1,20,1,2,5,4,2,1,3,5,1,36,28,1,1,0.427902551
New York,2,2,2,I think they are going to tax my paycheck or any item I might buy more. or tax more on Social Security,1,90,I JUST PAID THE VILLAGE TAX AND NOW I STILL HAVE TO PAY SCHOOL TAX EVEN THOUGH NO CHILDREN IN SCHOOL ANYMORE,To be a taxpayer it feels terrible.  I am going to be 70 years old this month.  Still have to work as I can afford to retire,property tax and taxes that come out of my paycheck,1,"Social Security, Federal Tax, State Tax",0,0,I am glad that if people who need help receive help but their are people who milk the system that is what gets me mad,"I get mad when I hear we are paying for food, and housing for people who crossed the board illegally to get in our country.  They should be turned right now where they came from.  No one asks us if they can use our money ",A little bit as I am getting Social Security but I still have to work. Have been a single Mom raising three children on my own. Never made enough money to live comfortably,100,"giving money to foreign countries, giving money to illegal people. My Mom came here in 1927 from Scotland at the age of 16. The boat ride to New York at that time was $50.  My Mom told me that she had to be spoken for which she was. Her two sisters were here and they had to take care of her. There was no welfare. She could not get a job in the phone company as they told her learn how to speak English. She told them she spoke the King's English. Can you imagine an employer doing that today. No one gave my Mom anything. She came here legally",1,It gave me extra money especially when my ex was not supporting his children,1,I think it is very good for Single parents raising their children on their own,1,4,2,1,2,1,2,1,4,1,1,6,3,1,33,12,1,12,0.627845355
Illinois,2,4,7,Looking forward to the refund,1,75,Taxes are withdrawn from paycheck,ok,not sure,1,"federal, state, ",0,no, not sure - don't really think about it.,don't really think about it.,i guess. It's my responsibility as a U.S. citizen & i feel blessed that i live in this country,50,stupid research projects that won't help anyone.,3,,1,no opinion,9,7,3,1,40,1,4,3,3,4,1,3,1,3,14,26,1,9,0.538743107
Utah,1,2,4,over spending by politicians,1,10,"Federal,State income taxes, Sales Tax",don't like it,property taxes,1,"Federal,State",0,0,"schooling, roads,research","politicians pocket books, wasteful  spending",no,80,everything,3,,3,,1,NA,3,NA,2,2,3,3,4,3,3,6,5,1,45,45,1,6,0.718334602
Ohio,1,3,2,too mnay for poor not enough for rich,1,80,at store buying soda plus paying my bills like cell phone lights gas ,not good,federal taxes,1,sociaol secrutiy,1,no,serevices for elderly people,abortion babies  anytihing else ,yes,71,vacations bussiness trips,1,help ou tlot,1,it good need to raise up hom much more money to get,6,6,2,1,80,1,2,1,1,1,1,1,3,2,36,27,2,10,1.375829411
Texas,1,2,1,Money that you pay at the end of the year.,1,90,None of your business what i pay,Not willing to tell you,None,1,None,0,0,School taxes thatneed to be paid,I am not upset with anything,Yes,100,Not sure,3,,3,,4,1,4,1,100,1,2,1,1,4,4,6,4,1,44,32,1,NA,0.519600055
Montana,1,2,NA,money and rich bitch including the united states of america,3,9,umm when i i got money tooken out of my check working for my cosuin at a sprinkeler job,i dont feel anything really?,working in the forest,1,2,0,no not really,the gas and the parks picking up trash including paying for food of the homeless and etc,cops and the laws thats it pretty much,yes because it was quite a bit of money taken out of my check,40,the president wasting money on stupid shit,4,,1,it's decent at least i mean im still alive in all so pretty well,7,NA,4,2,30,2,2,3,4,4,4,6,5,4,27,64,1,4,3.523345699
Minnesota,2,4,2,govennment taking money from us to pay for other  things,1,70,it was a sales tax of %6.5 on some ink for my copy/photo machine,its okay because I don't see a large some of money going out of my income,sales tax,1,federal taxe state tax,0,none,I can't think of any right now,I don't know I can't think of any thing right now. I may not think that I'm upset about any taxes. Oh maybe tax on a used car.,I can't think of any thing for this question,56,,3,,3,,6,4,2,1,41,1,1,1,4,2,4,6,3,3,24,20,1,3,0.427902551
